,Estado,Confirmados,Recuperados,Muertes,Codigo_estado
0,Total,21886611,17917085,238265,TT
1,Maharashtra,4996758,4265326,74413,MH
2,Kerala,1824857,1416177,5683,KL
3,Karnataka,1838885,1284420,17804,KA
4,Andhra Pradesh,1245374,1050160,8519,AP
5,Tamil Nadu,1323965,1173439,15171,TN
6,Delhi,1292867,1183093,18739,DL
7,Uttar Pradesh,1453679,1184688,14873,UP
8,West Bengal,954282,818108,12076,WB
9,Odisha,512400,431658,2193,OR
10,Rajasthan,720799,516306,5346,RJ
11,Chhattisgarh,830117,688918,10158,CT
12,Telangana,481640,405164,2625,TG
13,Haryana,587682,466420,5299,HR
14,Gujarat,658036,503497,8154,GJ
15,Bihar,567269,449063,3139,BR
16,Madhya Pradesh,649114,547447,6244,MP
17,Assam,283313,246242,1578,AS
18,Punjab,424647,344779,10144,PB
19,Jammu and Kashmir,206954,160035,2612,JK
20,Jharkhand,276062,211270,3615,JH
21,Uttarakhand,229993,154132,3430,UT
22,Himachal Pradesh,122906,91573,1780,HP
23,Goa,112462,79189,1557,GA
24,Puducherry,68373,54375,920,PY
25,Tripura,36846,34095,401,TR
26,Manipur,34333,30378,449,MN
27,Chandigarh,48442,39388,549,CH
28,Arunachal Pradesh,19804,17848,60,AR
29,Meghalaya,18927,16262,199,ML
30,Nagaland,15580,12540,122,NL
31,Ladakh,14909,13326,151,LA
32,Sikkim,9451,6688,160,SK
33,Andaman and Nicobar Islands,6310,6030,72,AN
34,Mizoram,7147,5459,17,MZ
35,Dadra and Nagar Haveli and Daman and Diu,8799,7115,4,DN
36,Lakshadweep,3629,2477,9,LD
37,State Unassigned,0,0,0,UN
